summoner name,game duration,win,champion,champion id,champion level,deaths,kills,assists,role,wards killed,wards placed,dragon kills,baron kills,damage dealt to objectives,damage dealt to turrets,turrets lost,turret kills,total minions killed,inhibitor takedowns,inhibitor kills
dont click back,1399,0,Zeri,221,11,10,3,5,CARRY,2,8,0,0,1418,1288,8,0,140,0,0
o akapotos,1399,0,Lulu,117,9,8,0,9,SUPPORT,4,27,0,0,120,120,8,0,6,0,0
Zéalot,1222,0,Rumble,68,12,5,7,3,SOLO,2,6,0,0,929,736,5,0,137,0,0
Binturong,1222,0,Khazix,121,10,7,1,8,NONE,1,3,0,0,3149,0,5,0,7,0,0
Diva1,1222,0,Cassiopeia,69,12,7,3,3,SOLO,2,8,0,0,1137,1081,5,0,150,0,0
Gumadruxy,1222,0,Aphelios,523,9,6,2,2,CARRY,1,7,0,0,2566,2566,5,1,113,0,0
Cinqe,1222,0,Thresh,412,8,4,1,4,SUPPORT,2,5,0,0,0,0,5,0,21,0,0
SuperCarryGaeth,1222,1,Aatrox,266,13,3,5,3,NONE,1,7,0,0,4087,0,1,0,128,0,0
Xacaulia,1222,1,Graves,104,12,6,9,7,NONE,0,3,1,0,21309,697,1,1,21,1,0
sajator696969,1222,1,Jayce,126,13,2,5,10,SOLO,4,9,0,0,4428,3680,1,0,156,1,0
L4 zamulek,1222,1,Kaisa,145,11,3,7,7,NONE,0,6,1,0,11334,4762,1,2,155,1,0
Chapter 4,1222,1,Soraka,16,11,0,3,12,SOLO,5,20,0,0,2507,2381,1,2,31,1,1
Satorius 1v9,1135,1,Aatrox,266,13,1,6,8,SUPPORT,1,6,0,0,3035,3035,0,1,159,0,0
NO BYSTANDERS9,1135,1,Viego,234,12,3,10,8,SUPPORT,0,10,2,0,25135,2053,0,1,28,0,0
G2 Yahaba,1135,1,Leblanc,7,14,2,10,3,SUPPORT,3,4,0,0,2835,2835,0,1,176,0,0
Vizzpers4,1135,1,Aphelios,523,11,3,3,4,SUPPORT,2,6,0,0,3508,3508,0,2,134,0,0
D For Flash,1135,1,Pyke,555,8,6,4,9,SUPPORT,4,25,0,0,422,422,0,0,29,0,0
dating cookielol,1135,0,Kayn,141,10,7,2,3,SUPPORT,0,6,0,0,0,0,5,0,96,0,0
TTV NattyNattLoL,1135,0,Hecarim,120,10,7,5,2,SUPPORT,3,1,0,0,8990,0,5,0,8,0,0
crοssman,1135,0,Lissandra,127,11,7,0,5,SUPPORT,0,7,0,0,0,0,5,0,118,0,0
Infinite Mage,1135,0,Lucian,236,11,8,5,2,DUO,5,3,0,0,5291,2250,5,0,162,0,0
Chapter 4,1135,0,Rakan,497,9,4,3,9,SUPPORT,3,20,0,0,213,213,5,0,37,0,0
SotF Kelvin,1287,0,Riven,92,12,7,4,1,NONE,3,4,0,0,2978,2978,7,1,154,0,0
lasttime33,1287,0,Zac,154,11,3,1,5,NONE,1,4,0,0,10994,183,7,1,15,0,0
blitza33,1287,0,Kassadin,38,13,5,2,2,SOLO,4,2,0,0,1086,1086,7,1,183,0,0
Maudridge,1287,0,Samira,360,11,8,3,0,CARRY,6,6,0,0,2896,744,7,0,167,0,0
Orgrim Doomhamer,1287,0,Rell,526,10,6,0,7,SUPPORT,8,19,0,0,313,313,7,0,39,0,0
Akimeris 3,1287,1,Shen,98,14,4,6,10,SOLO,1,8,0,0,4776,184,3,0,107,0,0
FA Warrior,1287,1,RekSai,421,13,1,5,11,NONE,2,3,3,1,26868,4934,3,2,40,0,0
c0cky movement,1287,1,Rumble,68,15,2,5,10,SOLO,2,9,0,0,3716,1760,3,1,204,0,0
Arima Kousěi ,1287,1,Kaisa,145,13,3,11,7,SOLO,0,8,0,0,29847,7136,3,4,158,0,0
Chapter 4,1287,1,Rakan,497,11,1,2,17,NONE,7,30,0,0,2531,1660,3,0,32,0,0
LFT Âxelion,1733,0,Aatrox,266,14,9,2,5,SOLO,1,9,0,0,2062,0,10,0,175,0,0
CrÃzY,1733,0,Nidalee,76,14,7,3,1,NONE,7,11,0,0,35547,2921,10,2,49,0,0
785 917,1733,0,Talon,91,15,4,5,0,SOLO,2,2,1,0,8778,601,10,0,207,0,0
Wexillon,1733,0,Ashe,22,14,5,2,3,CARRY,3,8,0,0,943,178,10,0,225,0,0
apocalypse662,1733,0,Janna,40,12,5,0,6,SUPPORT,10,23,0,0,426,0,10,0,22,0,0
SotF Kelvin,1733,1,Riven,92,16,6,5,5,SOLO,2,5,0,0,4499,4182,2,2,196,0,0
Trzeźwy nie gram,1733,1,Khazix,121,17,0,14,3,NONE,2,5,3,1,37743,1409,2,1,33,0,0
CEO OF EVALUNNA,1733,1,Ahri,103,17,2,5,7,SOLO,1,2,0,0,5875,4707,2,2,257,1,0
Arima Kousěi ,1733,1,Kaisa,145,16,1,5,10,CARRY,3,12,0,0,17780,6830,2,3,260,2,2
